Record Time,Area (m^2),Area MA (m^2)
2024-05-24 11:30:00,807651.8818623092,807625.6038210506
2024-05-25 19:30:00,807847.7115748944,807629.7375017037
2024-05-25 23:30:00,807913.6072468814,807632.324584603
2024-05-26 19:30:00,807926.2388254973,807637.9096648761
2024-05-27 07:30:00,807645.8467226679,807638.033681404
2024-05-27 23:30:00,807797.0204530959,807631.6446229791
2024-05-28 03:30:00,807550.3623973212,807630.3745882032
2024-05-28 07:30:00,807572.3213971104,807634.4920599767
2024-05-28 11:30:00,807716.6670393315,807639.0832435676
2024-05-28 19:30:00,807556.5451281192,807636.8244721188
2024-05-28 23:30:00,807617.174539004,807636.5221654554
2024-05-29 03:30:00,807387.5915856302,807636.1429382053
2024-05-29 11:30:00,807750.0833608981,807631.3083371192
2024-05-29 15:30:00,807753.8860407437,807633.1655750528
2024-05-29 19:30:00,807769.1318515415,807635.1949224633
2024-05-29 23:30:00,807781.7064597793,807637.3495038943
2024-05-30 07:30:00,807566.3681659149,807636.3207888511
2024-05-30 11:30:00,807862.5943927718,807639.5532689071
2024-05-30 15:30:00,807800.1437244432,807641.815106309
2024-05-31 11:30:00,807432.285405672,807641.8230432888
2024-05-31 15:30:00,807575.6069383589,807640.9033751648
2024-06-01 03:30:00,807480.3685494453,807638.7042679632
2024-06-01 07:30:00,807525.1697123448,807646.7980461166
2024-06-01 11:30:00,807368.4259994468,807643.0362617022
2024-06-02 07:30:00,807679.5173303745,807643.5226759512
2024-06-02 19:30:00,807522.1487019149,807643.1844206956
2024-06-03 15:30:00,807898.3744661396,807648.206148913
2024-06-03 19:30:00,807538.1279321715,807646.7384393564
2024-06-04 15:30:00,808191.1707819377,807652.8943393707
2024-06-04 23:30:00,807743.698371218,807654.1214208822
2024-06-05 15:30:00,808072.1653750046,807660.1697406118
2024-06-05 19:30:00,808011.1087699959,807664.2662777551
2024-06-06 19:30:00,807856.4578050902,807669.5022559335
2024-06-07 07:30:00,807856.2257322103,807672.0255461533
2024-06-07 11:30:00,808069.0923092378,807677.3197696612
2024-06-07 19:30:00,807791.1065746932,807679.2674316245
2024-06-08 07:30:00,807507.6046248499,807675.9289629152
2024-06-08 11:30:00,808097.6262505384,807676.4494863733
2024-06-08 23:30:00,807791.1747075807,807672.212068651
2024-06-09 03:30:00,807495.7811169478,807669.8596559616
2024-06-09 07:30:00,807413.6799239638,807666.4888700143
2024-06-09 23:30:00,807703.484635988,807664.5135181943
2024-06-10 03:30:00,807462.196841818,807667.3406718675
2024-06-10 15:30:00,807533.0444655215,807662.2464815404
2024-06-11 11:30:00,807759.8955017375,807655.7043679262
2024-06-11 23:30:00,807507.1234329949,807663.3349769838
2024-06-12 03:30:00,807617.5252794636,807662.7074468809
2024-06-12 07:30:00,807552.7908500776,807659.1262582521
2024-06-12 23:30:00,807613.9958028698,807656.3301737237
2024-06-13 11:30:00,807661.3996641005,807659.9519663376
2024-06-13 15:30:00,807517.1598666527,807658.6327004853
2024-06-13 19:30:00,807795.7110033123,807660.485109983
2024-06-14 11:30:00,807515.4322171657,807658.551071412
2024-06-14 23:30:00,807660.3747978806,807664.8220172524
2024-06-15 03:30:00,807703.7293631143,807665.3407818639
2024-06-15 07:30:00,807707.2411677814,807665.8921027313
2024-06-16 03:30:00,807683.4222020706,807663.6667536708
2024-06-16 07:30:00,807838.0632169029,807665.9614439765
2024-06-16 11:30:00,807699.7391557269,807666.4001155577
2024-06-16 15:30:00,807724.8997782886,807668.8606778248
2024-06-17 03:30:00,807503.5772017671,807668.8074526367
2024-06-17 11:30:00,807799.7410265952,807668.0951938012
2024-06-17 15:30:00,807896.9003843956,807671.066689783
2024-06-17 19:30:00,807964.9357251027,807676.3703087051
2024-06-18 03:30:00,807654.2954599549,807678.0647053309
2024-06-18 07:30:00,807926.3175084856,807681.2474335765
2024-06-18 11:30:00,807534.0825312592,807684.3341354511
2024-06-18 19:30:00,807878.0261606578,807686.7859332386
2024-06-19 07:30:00,807840.0113915461,807696.7219270178
2024-06-19 11:30:00,807625.0954777978,807696.246766625
2024-06-19 15:30:00,808048.8626775143,807700.6544655111
2024-06-19 19:30:00,807747.7610444454,807699.6693021816
2024-06-19 23:30:00,807686.2481171909,807697.1399103848
2024-06-20 03:30:00,808058.8713718423,807701.6057308966
2024-06-20 11:30:00,807870.7176542549,807703.6680714254
2024-06-20 23:30:00,807638.4036954374,807706.1893112826
2024-06-21 03:30:00,808130.8661167002,807711.3058992997
2024-06-21 15:30:00,807799.0219802142,807717.5224699995
2024-06-21 19:30:00,807864.2810983626,807719.2906462449
2024-06-21 23:30:00,807729.2057659653,807719.911192708
2024-06-22 19:30:00,807726.0039123569,807719.1657215107
2024-06-23 07:30:00,807579.5251199708,807721.265619663
2024-06-23 11:30:00,807826.682768178,807723.3973380274
2024-06-23 19:30:00,807632.8191457955,807722.3060345064
2024-06-24 07:30:00,807387.2709191373,807718.3175212283
2024-06-24 11:30:00,807519.7463650455,807715.981389979
